Rank,Name,Nationality,Position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv.Rate (%),Attempts Inside Penalty Area,Attempts Outside Penalty Area,Headed Attempts At Goal,xG,xG Efficiency,Corners
167,Matheus Cunha,BRA,FW,0,4,10,30,5,5,1,1.21,2.49,3
167,Cesar Blackman,PAN,DF,0,1,2,0,2,0,0,0.08,0.0,0
167,Manuel Ugarte,URU,MF,0,1,3,0,0,3,0,0.09,0.0,0
167,Moises Caicedo,ECU,MF,0,1,4,0,1,3,1,0.19,0.0,8
167,Mathias Olivera,URU,DF,0,0,1,0,1,0,1,0.05,0.0,0
167,Luis Chavez,MEX,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Santiago Arias,COL,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Douglas Santos,BRA,DF,0,0,2,0,2,0,0,0.2,0.0,0
167,Alex Arce,PAR,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Cesar Yanis,PAN,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Enner Valencia,ECU,FW,0,6,10,0,9,1,2,1.53,0.0,0
167,Julian Alvarez,ARG,FW,0,5,11,9,7,4,0,1.39,0.72,0
167,Nico Paz,ARG,FW,0,0,1,0,0,1,0,0.08,0.0,0
167,Nicolas De La Cruz,URU,MF,0,2,4,0,1,3,0,0.11,0.0,4
167,Jackson Porozo,ECU,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Federico Vinas,URU,FW,0,3,6,0,6,0,5,0.39,0.0,0
167,Edson Alvarez,MEX,DF,0,0,2,0,1,1,1,0.19,0.0,0
167,Juan Jose Caceres,PAR,DF,0,1,2,0,1,1,0,0.07,0.0,0
167,Alan Franco,ECU,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Marko Arnautovic,AUT,FW,0,3,3,67,3,0,0,1.31,1.53,0
167,Jose Maria Gimenez,URU,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Cesar Samudio,PAN,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Johan Mojica,COL,DF,0,2,3,0,1,2,1,0.13,0.0,0
167,Roderick Miller,PAN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Marquinhos,BRA,DF,0,0,2,0,2,0,1,0.21,0.0,0
167,Haji Wright,USA,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Damian Bobadilla,PAR,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Azarias Londono,PAN,FW,0,0,1,0,0,1,0,0.01,0.0,0
167,Andres Gomez,COL,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Hernan Galindez,ECU,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Endrick,BRA,FW,0,0,3,0,2,1,0,0.68,0.0,0
167,Jorge Carrascal,COL,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Anthony Valencia,ECU,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Ismael Diaz,PAN,MF,0,2,6,0,4,2,2,0.39,0.0,0
167,Braian Ojeda,PAR,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Dominique Simon,HAI,MF,0,1,1,0,0,1,0,0.01,0.0,1
167,Leo Pereira,BRA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jesus Gallardo,MEX,DF,0,0,4,0,2,2,0,0.12,0.0,0
167,Jiovany Ramos,PAN,DF,0,0,2,0,1,1,0,0.15,0.0,0
167,Yassin Fortune,HAI,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Marcos Senesi,ARG,DF,0,0,2,0,2,0,1,0.84,0.0,0
167,Jefferson Lerma,COL,MF,0,1,5,0,2,3,0,0.24,0.0,0
167,Israel Reyes,MEX,DF,0,0,2,0,2,0,1,0.06,0.0,0
167,Willian Pacho,ECU,DF,0,1,1,0,1,0,1,0.11,0.0,0
167,Armando Gonzalez,MEX,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Diego Gomez,PAR,MF,0,0,6,0,2,4,0,0.25,0.0,1
167,Edgardo Farina,PAN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Tim Ream,USA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Auston Trusty,USA,DF,0,2,3,33,3,0,1,0.27,3.7,0
167,Federico Valverde,URU,MF,0,2,10,0,3,7,0,0.5,0.0,2
167,Pervis Estupinan,ECU,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Anibal Godoy,PAN,MF,0,0,0,0,0,0,0,0.0,0.0,0
